Year,Avg_Temp,11-Year Mov_Avg
1750,8.72,
1751,7.98,
1752,5.78,
1753,8.39,
1754,8.47,
1755,8.36,
1756,8.85,
1757,9.02,
1758,6.74,
1759,7.99,
1760,7.19,7.953636364
1761,8.77,7.958181818
1762,8.61,8.015454545
1763,7.5,8.171818182
1764,8.4,8.172727273
1765,8.25,8.152727273
1766,8.41,8.157272727
1767,8.22,8.1
1768,6.78,7.896363636
1769,7.69,7.982727273
1770,7.69,7.955454545
1771,7.85,8.015454545
1772,8.19,7.962727273
1773,8.22,7.927272727
1774,8.77,8.042727273
1775,9.18,8.113636364
1776,8.3,8.118181818
1777,8.26,8.104545455
1778,8.54,8.133636364
1779,8.98,8.333636364
1780,9.43,8.491818182
1781,8.1,8.529090909
1782,7.9,8.533636364
1783,7.68,8.487272727
1784,7.86,8.454545455
1785,7.36,8.326363636
1786,8.26,8.242727273
1787,8.03,8.218181818
1788,8.45,8.235454545
1789,8.33,8.216363636
1790,7.98,8.125454545
1791,8.23,8.016363636
1792,8.09,8.015454545
1793,8.23,8.045454545
1794,8.53,8.122727273
1795,8.35,8.167272727
1796,8.27,8.25
1797,8.51,8.272727273
1798,8.67,8.330909091
1799,8.51,8.336363636
1800,8.48,8.35
1801,8.59,8.405454545
1802,8.58,8.437272727
1803,8.5,8.474545455
1804,8.84,8.53
1805,8.56,8.532727273
1806,8.43,8.54
1807,8.28,8.540909091
1808,7.63,8.460909091
1809,7.08,8.316363636
1810,6.92,8.171818182
1811,6.86,8.024545455
1812,7.05,7.884545455
1813,7.74,7.808181818
1814,7.59,7.725454545
1815,7.24,7.58
1816,6.94,7.432727273
1817,6.98,7.300909091
1818,7.83,7.26
1819,7.37,7.236363636
1820,7.62,7.285454545
1821,8.09,7.391818182
1822,8.19,7.512727273
1823,7.72,7.573636364
1824,8.55,7.647272727
1825,8.39,7.72
1826,8.36,7.821818182
1827,8.81,7.991818182
1828,8.17,8.1
1829,7.94,8.11
1830,8.52,8.214545455
1831,7.64,8.216363636
1832,7.45,8.158181818
1833,8.01,8.141818182
1834,8.15,8.180909091
1835,7.39,8.075454545
1836,7.7,8.012727273
1837,7.38,7.923636364
1838,7.51,7.805454545
1839,7.63,7.756363636
1840,7.8,7.743636364
1841,7.69,7.668181818
1842,8.02,7.702727273
1843,8.17,7.768181818
1844,7.65,7.735454545
1845,7.85,7.708181818
1846,8.55,7.813636364
1847,8.09,7.849090909
1848,7.98,7.903636364
1849,7.98,7.946363636
1850,7.9,7.970909091
1851,8.18,8.005454545
1852,8.1,8.042727273
1853,8.04,8.044545455
1854,8.21,8.048181818
1855,8.11,8.09
1856,8,8.103636364
1857,7.76,8.031818182
1858,8.1,8.032727273
1859,8.25,8.057272727
1860,7.96,8.055454545
1861,7.85,8.050909091
1862,7.56,7.994545455
1863,8.11,7.995454545
1864,7.98,7.99
1865,8.18,7.987272727
1866,8.29,8.003636364
1867,8.44,8.043636364
1868,8.25,8.088181818
1869,8.43,8.118181818
1870,8.2,8.113636364
1871,8.12,8.128181818
1872,8.19,8.159090909
1873,8.35,8.230909091
1874,8.43,8.26
1875,7.86,8.249090909
1876,8.08,8.24
1877,8.54,8.262727273
1878,8.83,8.298181818
1879,8.17,8.290909091
1880,8.12,8.262727273
1881,8.27,8.269090909
1882,8.13,8.27
1883,7.98,8.250909091
1884,7.77,8.198181818
1885,7.92,8.151818182
1886,7.95,8.16
1887,7.91,8.144545455
1888,8.09,8.103636364
1889,8.32,8.057272727
1890,7.97,8.039090909
1891,8.02,8.03
1892,8.07,8.011818182
1893,8.06,8.005454545
1894,8.16,8.021818182
1895,8.15,8.056363636
1896,8.21,8.082727273
1897,8.29,8.113636364
1898,8.18,8.138181818
1899,8.4,8.166363636
1900,8.5,8.182727273
1901,8.54,8.234545455
1902,8.3,8.26
1903,8.22,8.273636364
1904,8.09,8.276363636
1905,8.23,8.282727273
1906,8.38,8.303636364
1907,7.95,8.28
1908,8.19,8.270909091
1909,8.18,8.270909091
1910,8.22,8.254545455
1911,8.18,8.225454545
1912,8.17,8.191818182
1913,8.3,8.191818182
1914,8.59,8.225454545
1915,8.59,8.270909091
1916,8.23,8.270909091
1917,8.02,8.238181818
1918,8.13,8.254545455
1919,8.38,8.271818182
1920,8.36,8.288181818
1921,8.57,8.32
1922,8.41,8.340909091
1923,8.42,8.363636364
1924,8.51,8.382727273
1925,8.53,8.377272727
1926,8.73,8.39
1927,8.52,8.416363636
1928,8.63,8.471818182
1929,8.24,8.481818182
1930,8.63,8.504545455
1931,8.72,8.537272727
1932,8.71,8.55
1933,8.34,8.543636364
1934,8.63,8.562727273
1935,8.52,8.563636364
1936,8.55,8.565454545
1937,8.7,8.562727273
1938,8.86,8.593636364
1939,8.76,8.605454545
1940,8.76,8.652727273
1941,8.77,8.665454545
1942,8.73,8.666363636
1943,8.76,8.670909091
1944,8.85,8.717272727
1945,8.58,8.712727273
1946,8.68,8.727272727
1947,8.8,8.75
1948,8.75,8.754545455
1949,8.59,8.73
1950,8.37,8.694545455
1951,8.63,8.682727273
1952,8.64,8.670909091
1953,8.87,8.683636364
1954,8.56,8.665454545
1955,8.63,8.645454545
1956,8.28,8.618181818
1957,8.73,8.622727273
1958,8.77,8.62
1959,8.73,8.618181818
1960,8.58,8.617272727
1961,8.8,8.656363636
1962,8.75,8.667272727
1963,8.86,8.687272727
1964,8.41,8.645454545
1965,8.53,8.642727273
1966,8.6,8.64
1967,8.7,8.678181818
1968,8.52,8.659090909
1969,8.6,8.643636364
1970,8.7,8.640909091
1971,8.6,8.642727273
1972,8.5,8.615454545
1973,8.95,8.633636364
1974,8.47,8.598181818
1975,8.74,8.628181818
1976,8.35,8.611818182
1977,8.85,8.634545455
1978,8.69,8.633636364
1979,8.73,8.652727273
1980,8.98,8.687272727
1981,9.17,8.73
1982,8.64,8.733636364
1983,9.03,8.781818182
1984,8.69,8.758181818
1985,8.66,8.775454545
1986,8.83,8.783636364
1987,8.99,8.841818182
1988,9.2,8.873636364
1989,8.92,8.894545455
1990,9.23,8.94
1991,9.18,8.958181818
1992,8.84,8.928181818
1993,8.87,8.949090909
1994,9.04,8.95
1995,9.35,9.01
1996,9.04,9.044545455
1997,9.2,9.078181818
1998,9.52,9.126363636
1999,9.29,9.134545455
2000,9.2,9.16
2001,9.41,9.176363636
2002,9.57,9.211818182
2003,9.53,9.274545455
2004,9.32,9.315454545
2005,9.7,9.375454545
2006,9.53,9.391818182
2007,9.73,9.454545455
2008,9.43,9.475454545
2009,9.51,9.474545455
2010,9.7,9.511818182
2011,9.52,9.540909091
2012,9.51,9.55
2013,9.61,9.553636364
2014,9.57,9.557272727
2015,9.83,9.603636364
